ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
CC7D6672-85CE-4FA8-9B2C-B1CEE5A488E2;44;29.00.04;Технология художественной обработки материалов;;Бакалавриат;Заочная форма;Бюджетные места;0;0
AF83457C-C028-4254-A4FA-862A2641519C;1701;38.00.01;Экономика;;Бакалавриат;Заочная форма;С оплатой обучения;1;1
169F8A66-1240-4D0A-BFBD-6B9EAFE17B08;1907;10.00.01;Информационная безопасность;;Бакалавриат;Очная форма;Бюджетные места;1;1
BCF8A0F7-E64F-4F0E-A959-AF6AED627298;512;38.00.05;Бизнес-информатика;;Бакалавриат;Очная форма;Бюджетные места;0;0
169F8A66-1240-4D0A-BFBD-6B9EAFE17B08;1907;12.00.04;Биотехнические системы и технологии;;Бакалавриат;Очная форма;Бюджетные места;0;0
CC7D6672-85CE-4FA8-9B2C-B1CEE5A488E2;44;29.00.04;Технология художественной обработки материалов;;Бакалавриат;Заочная форма;С оплатой обучения;1;1
E2152E0C-6402-454E-801D-BFA35B68AB4C;2866;44.00.02;Психолого-педагогическое образование;;Магистратура;Заочная форма;Бюджетные места;0;0
BCF8A0F7-E64F-4F0E-A959-AF6AED627298;512;38.00.02;Менеджмент;;Бакалавриат;Очная форма;Бюджетные места;0;0
05356606-2689-40A1-9EA3-01E1E1DEB87C;235;44.00.02;Психолого-педагогическое образование;;Магистратура;Заочная форма;С оплатой обучения;1;1
7DD3D621-DD69-41F5-9304-4864C42F7371;87;39.00.02;Социальная работа;;Бакалавриат;Заочная форма;Бюджетные места;0;1
05356606-2689-40A1-9EA3-01E1E1DEB87C;235;44.00.02;Психолого-педагогическое образование;;Магистратура;Заочная форма;Бюджетные места;0;0
E2152E0C-6402-454E-801D-BFA35B68AB4C;2866;44.00.02;Психолого-педагогическое образование;;Магистратура;Очная форма;Бюджетные места;0;0
