X;Psi;Regions;Industries
0.0016622583458779634;0.0024174669617243244;Beijing;Agri
0.0007603568186026172;0.0009723929861357125;Beijing;CoalM
9.638283260237776e-05;0.00014168844550667322;Beijing;OilgasM
5.8558453889510304e-05;6.467787232688865e-05;Beijing;MetalM
1.965522063712867e-05;5.373876577177885e-05;Beijing;NonMeM
0.0008753644557270639;0.0021192356700972474;Beijing;Food
1.2012504213359718e-05;0.00030262957853630475;Beijing;Tex
7.218691067167548e-05;0.0006793856340779602;Beijing;Cloth
0.00040455301467137565;0.0009275633254602171;Beijing;Wood
0.0009601495279495188;0.0025775422738442085;Beijing;Paper
0.0012244838192173007;0.007292257636001596;Beijing;Fuel
0.0025766514343095303;0.012089507167988586;Beijing;Chemi
0.0014367293733962684;0.003791380533773898;Beijing;NonMeP
0.002136688634145656;0.006967272045444004;Beijing;MeSme
0.0012535730597476682;0.0030867172063424827;Beijing;MetaInd
0.0009820837722779355;0.007655987011106361;Beijing;GnerSep
0.00309455175023246;0.0072070680946079504;Beijing;TransEq
0.0013968626632808348;0.0032648064930952863;Beijing;Electri
0.003318875471227234;0.010851864364243057;Beijing;Computers
0.00020584551955249116;0.001640608838120544;Beijing;Instru
6.245149617369613e-05;0.0004446857120515779;Beijing;OtherManu
0.008826250298515323;0.005929435389246198;Beijing;ElectriH
0.00022303111582310138;0.0005974181713234749;Beijing;WaGaS
0.0007707419840936953;0.0030391919334736743;Beijing;Building
0.004551747312768005;0.017905049206050475;Beijing;Trans 
0.0037066539823653877;0.013951843340388032;Beijing;Wholes
0.001306722043738169;0.005471963672605919;Beijing;Acconm
0.002880881048273556;0.008126979129949018;Beijing;Rental
0.0008548960713640431;0.0033041704774566926;Beijing;ScienceTec
0.007483565186822683;0.04218156390999326;Beijing;Ohters
0.00220358345778831;0.0026426630072867103;Tianjin;Agri
0.0005351242223234926;0.001445614171222618;Tianjin;CoalM
0.0033059591515888355;0.008176283641057089;Tianjin;OilgasM
0.0;0.0;Tianjin;MetalM
9.439692091415247e-05;0.0001748915679251044;Tianjin;NonMeM
0.0008722394132345166;0.003199111747370678;Tianjin;Food
0.00020731898197018963;0.0009315133694035326;Tianjin;Tex
7.160195549821135e-05;0.0005972545255245787;Tianjin;Cloth
0.00012273310992440227;0.0003434151426394829;Tianjin;Wood
0.0005822967818328113;0.0017884688739385176;Tianjin;Paper
0.0015163291011412218;0.007420589769360596;Tianjin;Fuel
0.00300443002030474;0.011839956730176262;Tianjin;Chemi
0.0008584121122922467;0.002533446001658888;Tianjin;NonMeP
0.009743773799040083;0.017631065131557468;Tianjin;MeSme
0.001417166510714107;0.006443203250828745;Tianjin;MetaInd
0.0008207888996538867;0.005706029130856085;Tianjin;GnerSep
0.003144074121252376;0.008800299187090693;Tianjin;TransEq
0.0006134388604419929;0.0036220508702899936;Tianjin;Electri
0.00248038859780709;0.010430497381570814;Tianjin;Computers
9.923437675292335e-05;0.0010512485586543288;Tianjin;Instru
0.0008185042941954818;0.0015243471193916093;Tianjin;OtherManu
0.002852543331247037;0.004504280912274824;Tianjin;ElectriH
0.0001325314732394771;0.0004305050932375184;Tianjin;WaGaS
-4.297809759044811e-06;0.0005925657683224961;Tianjin;Building
0.003435487288132105;0.013669574509266202;Tianjin;Trans 
0.002245184352972234;0.007662429059231335;Tianjin;Wholes
0.0005584160182931325;0.0016241296146689323;Tianjin;Acconm
0.00039878098548936915;0.0016940018156226021;Tianjin;Rental
9.317099607463298e-05;0.0002309679513391248;Tianjin;ScienceTec
0.003971252714355842;0.011184696562077004;Tianjin;Ohters
0.010000177934847693;0.02586138861251551;Hebei;Agri
0.003945884435361554;0.011569648488034783;Hebei;CoalM
0.0023493468678348695;0.00290846337167492;Hebei;OilgasM
0.005655875557003219;0.005391768467934522;Hebei;MetalM
0.000911618535393564;0.002764440930535037;Hebei;NonMeM
0.003134181916015018;0.011119794453051795;Hebei;Food
0.003954392725142998;0.012061337834771247;Hebei;Tex
0.0021562642520734283;0.005443456201256684;Hebei;Cloth
0.003416492866570619;0.009911588190123699;Hebei;Wood
0.0025071316882528394;0.007483874098779554;Hebei;Paper
0.00578732006004908;0.015353370679201825;Hebei;Fuel
0.008855385980695041;0.03038584794920439;Hebei;Chemi
0.008753549837162092;0.024095973031451855;Hebei;NonMeP
0.021102105673840323;0.07209552871266105;Hebei;MeSme
0.004425772772222494;0.014159196894636307;Hebei;MetaInd
0.0016216164081911178;0.01155865788357426;Hebei;GnerSep
0.0022055477683425528;0.0063778935053576255;Hebei;TransEq
0.002082773836673445;0.008822619535081285;Hebei;Electri
0.0004842172896159158;0.0014887264457875773;Hebei;Computers
8.619935783487674e-05;0.0006253489132186498;Hebei;Instru
0.0006606780232428337;0.0034111937839438264;Hebei;OtherManu
0.008854778267201727;0.015515930259280502;Hebei;ElectriH
0.00020555462766235714;0.0005860174134430564;Hebei;WaGaS
0.00010138349937008116;0.001469682350294751;Hebei;Building
0.003612425782551588;0.02696184152549589;Hebei;Trans 
0.0015748306854261535;0.010589728746588985;Hebei;Wholes
0.0018080570077956353;0.0032399229224265554;Hebei;Acconm
0.0015212201141360663;0.005677905192212798;Hebei;Rental
0.0001413029468086047;0.0004778252894122225;Hebei;ScienceTec
0.0028679368232542523;0.01893815663324549;Hebei;Ohters
0.0026388339715131505;0.002725082498979471;Shanxi;Agri
0.00808825599856223;0.022763949873056296;Shanxi;CoalM
6.287601338851785e-08;3.554728711961963e-07;Shanxi;OilgasM
0.00022056394224811147;0.00032883630294309595;Shanxi;MetalM
