X;Psi;Regions;Industries
0.0007529896685434127;0.0022358373592062026;Beijing;Agri
0.0032957299584158843;0.005684961444454584;Beijing;CoalM
5.9641911366928285e-06;2.428178693602219e-05;Beijing;OilgasM
0.00047037951914767894;0.0014350476718704203;Beijing;MetM
0.0006885470080889584;0.002132200391817173;Beijing;NMetM
0.0020327753281308993;0.0028731589617576577;Beijing;Food
0.00024384573482310413;0.00035428407519668515;Beijing;Tex
0.00013124601077495798;0.0010013741431525254;Beijing;Cloth
0.0002394801511836123;0.000811621063834388;Beijing;Wood
0.0007589663669546098;0.00300985047296695;Beijing;Paper
0.0021626969444362505;0.0059675334262330754;Beijing;Fuel
0.004439336552230018;0.00888301392345888;Beijing;Chemi
0.0021455820195462527;0.0028898333213988507;Beijing;NonMetP
0.00036249111162954247;0.002901424068712872;Beijing;MetSm
0.000504676290591253;0.002389486390297582;Beijing;MetInd
0.001779898551494729;0.0040419298582328985;Beijing;General
0.001129450854740698;0.0025905804625928064;Beijing;Special
0.004306932343491556;0.008861156473338253;Beijing;TransEq
0.0024629878969966816;0.004121820937676449;Beijing;Electri
0.004901951044371855;0.006487288212389994;Beijing;ComEq
0.0005569499829615818;0.0014598240530876582;Beijing;Instr
0.0001504838966963668;0.0006533729984010214;Beijing;OtherM
6.38539922734007e-05;0.00023103084958242336;Beijing;Waste
0.00011322391965898427;0.0005089273976285363;Beijing;EquiRepair
0.012021798232761902;0.013365700123911375;Beijing;ElectriH
0.0007991093025511729;0.0013632606145361956;Beijing;GasPS
8.865934418605903e-05;0.00029591621289805245;Beijing;WaterPS
0.0007620403967199509;0.003766863660029251;Beijing;Building
0.005107149787483922;0.02049447056780871;Beijing;WhSR
0.005355778592750457;0.019679991051012133;Beijing;Trans
0.0011890730115488649;0.006790704327517968;Beijing;Accom
0.0018490460938269213;0.009276271819366352;Beijing;Inform
0.009792286282796672;0.020110151230079323;Beijing;Fin
0.002016077680620996;0.0058487860185418026;Beijing;Estate
0.005608014757903526;0.012725644144248415;Beijing;Rental
0.0017698572382382136;0.009647536932352293;Beijing;Science
0.0002887483561626123;0.0005091967118197663;Beijing;Cons
0.0008763805280555927;0.0019305721516505367;Beijing;ResS
0.0004915808696653122;0.0019760028732767583;Beijing;Edu
2.471596162231127e-05;0.0004219406856892957;Beijing;Health
0.0009213943966148493;0.0036118833389418544;Beijing;Culture
0.00012809678279299762;0.0009424856032978273;Beijing;PublA
0.0010487598419195124;0.001365003744037459;Tianjin;Agri
0.0039042469065929002;0.0051826082987788125;Tianjin;CoalM
0.004618844423594157;0.007379844704604627;Tianjin;OilgasM
0.0008107112406692621;0.0011181287957253378;Tianjin;MetM
0.0009523559134877712;0.003197905914249957;Tianjin;NMetM
0.004116212873354865;0.00674009641745179;Tianjin;Food
0.0003084050804829206;0.0004705309643582116;Tianjin;Tex
0.00011878810314676659;0.0005125409395664058;Tianjin;Cloth
0.0002630937443449968;0.0005191830058216205;Tianjin;Wood
0.0011583139882885274;0.0027512800112633046;Tianjin;Paper
0.0035399929799174814;0.005245061964855454;Tianjin;Fuel
0.0060575578244454085;0.01058948767524424;Tianjin;Chemi
0.0011059665717435105;0.001465926304496347;Tianjin;NonMetP
0.012168136815082843;0.02114420886727111;Tianjin;MetSm
0.0022007993184382678;0.004411512041445423;Tianjin;MetInd
0.00146453677226774;0.003610539730927514;Tianjin;General
0.0008508741496474019;0.001965640819245067;Tianjin;Special
0.00303747917106596;0.0052548488928886375;Tianjin;TransEq
0.0012350657072817065;0.003031109572317724;Tianjin;Electri
0.003796805101714252;0.009108419116284537;Tianjin;ComEq
0.00034138116080531007;0.0008176298974614818;Tianjin;Instr
0.0005689474231830322;0.0009154622915559814;Tianjin;OtherM
0.0013637467984197811;0.002225467067326797;Tianjin;Waste
1.454264032042445e-05;0.00012285456119668882;Tianjin;EquiRepair
0.0022700680481561215;0.00452099702162321;Tianjin;ElectriH
0.00024109666118001397;0.0003599082849130627;Tianjin;GasPS
8.26169608210505e-05;0.0001875196403601438;Tianjin;WaterPS
