"ID";"Diplom";"Org";"DataV";"longitude";"latitude"
"0b117c61-4541-4493-b68b-1c67d9f5c1b4";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"49990823-edc4-4d71-bae3-34ace953ff0b";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"e693611a-aa7d-4f83-89e1-7f3bb1a6824c";"Диплом о среднем профессиональном образовании";"КОСТРОМСКОЙ МАШИНОСТРОИТЕЛЬНЫЙ ТЕХНИКУМ";2017;"57.75325499";"41.0188441"
"2f7bb516-bc9c-4d7b-a057-bd5cc56b30bd";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ";2016;"57.759585";"40.942468"
"19786673-d772-4219-bbbb-a76e6e49650f";"Аттестат о среднем (полном) общем образовании";"МБОУ города Костромы ""Средняя образовательная школа №3""";2017;"57.7457514";"40.9682965"
"00952e27-4127-440c-9caa-4cb62da66560";"Диплом о среднем профессиональном образовании";"Костромской строительный техникум";2017;"57.739699";"40.988293"
"873bf07f-c2ff-4e63-9c41-647ffd9f36ea";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 13 имени Р.А. Наумова городского округа город Буй Костромской области";2017;"58.4694872";"41.5494025"
"74683bf0-43e4-467c-8e68-57376122c4e0";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение ""Средняя школа № 2 п. Усть-Камчатск"" Усть-Камчатского муниципального района Камчатского края";2017;"56.262103";"162.588863"
"8d533cb0-219f-4319-8522-023dd27aa64d";"Диплом о высшем профессиональном образовании";"Владимирский юридический институт Федеральной службы исполнения наказаний";2017;"56.142401";"40.430150"
"262693df-59a6-42f5-b69d-729cd84cb243";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 3 с углублённым изучением отдельных предметов города Костромы";2017;"57.7457514";"40.9682965"
"5d7b6ef7-933e-4c16-a765-6bdef08e68de";"Аттестат о среднем (полном) общем образовании";"Зарубинская средняя общеобразовательная школа";2017;"57.714851";"40.733400"
"f04b8b82-2799-487d-b04e-9d21861592e5";"Диплом о среднем профессиональном образовании";"Ярославский государственный университет им. П. Г Демидова";2017;"57.6327976";"39.887476"
"c0b34fd1-61a9-4b11-a749-c1567ca91c23";"Аттестат о среднем (полном) общем образовании";"Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 2 городского округа город Буй Костромской области";2017;"58.4728483";"41.5467424"
"35b85859-e79c-4fa3-91e3-66f0168760f5";"Диплом о высшем профессиональном образовании";"КОСТРОМСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ";2009;"57.733452";"41.0507389"
"510414d6-f6f3-4115-aa0b-aae28f06d4f6";"Диплом о высшем профессиональном образовании";"Костромской государственный университет";2017;"57.759585";"40.942468"
"5e6d84a5-dc72-44c5-b5e6-7e10f899284e";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №4";2017;"57.7905515";"40.9389809"
"1abfbda4-ba5b-4bdf-9d10-b0b41e09c23c";"Аттестат об основном общем образовании";"Муниципальное бюджетное общеобразовательное учреждение города Костромы ""Лицей №34""";2016;"57.7615625";"40.9729098"
"0123dae9-d75a-4972-9dee-74ed3993700b";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №36";2017;"57.798405";"41.002406"
"75e489d7-7d7a-4131-83a2-02cddd753f52";"Аттестат о среднем (полном) общем образовании";"ШОЛОХОВСКАЯ СРЕДНЯЯ ШКОЛА ";2017;"57.5521036";"41.205406"
"2a102273-4a45-455f-8b0b-413d94aafdcb";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 22";2017;"57.740795";"40.995112"
"4d5855c7-d94e-4371-a978-a0ec07e19c86";"Аттестат о среднем (полном) общем образовании";"СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №3 ГОРОДСКОГО ОКРУГА ГОРОД МАНТУРОВО КОСТРОМСКОЙ ОБЛАСТИ";2017;"58.3143029";"44.7693706"
"6d1a7376-f173-47cb-855c-8aebec8ba7c4";"Диплом о среднем профессиональном образовании";"Симферопольский техникум радиоэлектронного приборостроения";2003;"44.910913";"34.075448"
"6e1f1ab2-c1a6-4e36-874b-7c595631090e";"Диплом о среднем профессиональном образовании";"КОСТРОМСКОЙ ТОРГОВО-ЭКОНОМИЧЕСКИЙ КОЛЛЕДЖ";2010;"57.7656389";"40.9368408"
"a3e936dc-94bc-4785-8b32-ff9a9b060791";"Диплом о высшем профессиональном образовании";"Костромской государственный университет";2017;"57.759585";"40.942468"
"d0e57faa-acbb-40e9-9d66-e5c9ebc6fa65";"Аттестат о среднем (полном) общем образовании";"Гимназия № 2 города Вологды";2017;"59.210171";"39.895666"
"df217ccc-7ade-4f29-b499-17520fc4eecc";"Диплом о среднем профессиональном образовании";"КОСТРОМСКОЙ ТЕХНОЛОГИЧЕСКИЙ ТЕХНИКУМ";2017;"57.7555711";"40.9531215"
"6f9b6438-52fb-436c-a3d7-a548bfb1603d";"Аттестат о среднем (полном) общем образовании";"Муниципальное бюджетное общеобразовательное учреждение ""Плесецкая средняя школа"" пос. Плесецк Архангельской области";2017;"62.711454";"40.284111"
"ea417ba5-947d-492b-b9cc-fe34275e7859";"Диплом о среднем профессиональном образовании";"ОГБПОУ ""Буйский колледж искусств"" г. Буй";2017;"58.4808071";"41.5313942"
"1c5d6965-c997-465a-8aae-3860e8183008";"Диплом о высшем профессиональном образовании";"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Костромской государственный университет""";2016;"57.759585";"40.942468"
"e705b9de-8f82-45f3-be56-87b8fe696855";"Диплом о высшем профессиональном образовании";"Костромская государственная сельскохозяйственная академия";2015;"57.733452";"41.0507389"
"fda0e47d-31f6-4634-874d-fe446df4b6de";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 36";2017;"57.798405";"41.002406"
"a7a050ea-998b-4e5e-8799-f225aa36ddc9";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №8";2017;"57.748105";"41.007544"
"ebb85481-b487-4efa-8c85-2f562a56c8a7";"Диплом о среднем профессиональном образовании";"КОСТРОМСКОЙ ТОРГОВО-ЭКОНОМИЧЕСКИЙ КОЛЛЕДЖ ";2016;"57.7656389";"40.9368408"
"876ab397-79f6-46a9-87bb-923de2a6e8a8";"Диплом о среднем профессиональном образовании";"ОГБ ПОУ ""Костромской техникум торговли и питания""";2016;"57.7464479";"41.0078079"
"eb445c9c-ea50-4d05-8efc-873527a60787";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"91bd8ad3-30cc-4bfe-bce9-264a271b6b64";"Диплом о среднем профессиональном образовании";"Московская государственная художественно-промышленная академия им. С.Г. Строганова";2017;"55.807441";"37.498375"
"da8ade14-9794-4c18-8873-76a8e4d45d52";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"40868061-be34-4f42-8e1e-dc2934e71fb7";"Диплом о среднем профессиональном образовании";"государственное профессиональное автономное учреждение Ярославской области промышленно-экономический колледж г. Ярославль";2017;"57.5907351";"39.8470631"
"f799b671-4e9c-4021-9da2-3d81375fc74a";"Аттестат о среднем (полном) общем образовании";"Вечерняя (сменная) общеобразовательная школа № 2";2017;"57.786037";"40.920893"
"3366eec5-fbb9-42b0-8fa7-5ad0aa927c25";"Диплом о среднем профессиональном образовании";"Костромской энергетический техникум";1996;"57.7773567";"40.9087716"
"e58c2a56-5d96-44f2-bdab-ad89865e2f01";"Аттестат о среднем (полном) общем образовании";"Муниципальное общеобразовательное учреждение средняя общеобразовательная школа №13 имени Р. А. Наумова городского округа город Буй Костромской области";2017;"58.4694872";"41.5494025"
"9e90e437-ead0-4875-b4f9-0c55799ad3d9";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" г. Кострома";2017;"57.759585";"40.942468"
"9b153244-fb72-43ad-8808-1a016f24e0b8";"Аттестат о среднем (полном) общем образовании";"Гимназия № 33";2017;"57.7363374";"40.9163406"
"f624b7b3-009c-47bc-a431-56816f1fd36a";"Аттестат о среднем (полном) общем образовании";"муниципальное общеобразовательное учреждение Боговаровская средняя общеобразовательная школа имени Цымлякова Октябрьского муниципального района Костромской области";2017;"58.9740341";"47.0217301"
"4b8a2690-c3c0-483a-8270-106bb583c82b";"Аттестат о среднем (полном) общем образовании";"Лицей №11 г. Новокузнецк";2017;"53.756096";"87.114593"
"4b356d2e-81fe-4b51-8519-b777457cd3fe";"Диплом о высшем профессиональном образовании";"Костромской государственный университет имени Н. А. Некрасова";2016;"57.759585";"40.942468"
"baefc2f8-fb69-45b0-b2cf-deb6382c6059";"Аттестат о среднем (полном) общем образовании";"ГИМНАЗИЯ №15 ";2017;"57.773569";"40.973086"
